# Conformational energies from the Morpholino Adenosine
####      R    THETA     PHI        E : CONFORMER
# North Pole Chair
(002) 0.6700  0.0700  2.0900   0.0000 : ^4' C _1'

# Envelopes and Twists North Hemisphere
(110) 0.6700  0.9300  0.0000  13.1183 : E ^O4'
(113) 0.6700  0.9300  0.5200  13.7003 : ^O4' T _1'
(116) 0.6700  0.9300  1.0500  16.3535 : E _1'
(119) 0.6700  0.9300  1.5700  15.5466 : _1' T ^2'
(122) 0.6700  0.9300  2.0900  12.6440 : E ^2'
(125) 0.6700  0.9300  2.6200  10.3231 : _3' T ^2'
(128) 0.6700  0.9300  3.1400  11.6386 : E _3'
(131) 0.6700  0.9300  3.6700  10.5635 : ^4' T _3'
(134) 0.6700  0.9300  4.1900  12.2455 : ^4' E
(137) 0.6700  0.9300  4.7100  14.8573 : ^4' T _5'
(140) 0.6700  0.9300  5.2400  16.5079 : E _5'
(143) 0.6700  0.9300  5.7600  13.7970 : ^O4' T _5'

# Boat and Skews on Equator
(316) 0.6700  1.6400  0.0000  10.8031 : ^{3',O4'}B
(319) 0.6700  1.6400  0.4200  10.7237 : ^3' S _1'
(323) 0.6700  1.6400  0.9800   9.7392 : _{1',4'}B
(326) 0.6700  1.6400  1.4000   8.5743 : ^2' S _4'
(331) 0.6700  1.6400  2.0900   9.7604 : ^{2',5'}B
(334) 0.6700  1.6400  2.5100  10.2595 : ^2' S _O4'
(339) 0.6700  1.6400  3.2100  11.3023 : _{3',O4'}B
(342) 0.6700  1.6400  3.6300   7.7586 : ^4' S _O4'
(346) 0.6700  1.6400  4.1900   7.3603 : ^{1',4'}B
(349) 0.6700  1.6400  4.6100   6.6372 : ^4' S _2'
(354) 0.6700  1.6400  5.3100   7.4200 : _{2',5'}B
(357) 0.6700  1.6400  5.7200   8.2221 : ^3' S _5'

# Envelopes and Twists South Hemisphere
(486) 0.6700  2.2100  0.0000  11.5336 : ^3' E
(489) 0.6700  2.2100  0.5200  11.7240 : ^3' T _4'
(492) 0.6700  2.2100  1.0500  14.7506 : E _4'
(495) 0.6700  2.2100  1.5700  18.1162 : ^5' T _4'
(498) 0.6700  2.2100  2.0900  23.9517 : ^5' E
(501) 0.6700  2.2100  2.6200  26.2999 : ^5' T _O4'
(504) 0.6700  2.2100  3.1400  28.4951 : E _O4'
(507) 0.6700  2.2100  3.6700  21.6338 : ^1' T _O4'
(510) 0.6700  2.2100  4.1900  21.1173 : ^1' E
(513) 0.6700  2.2100  4.7100  17.3650 : ^1' T _2'
(516) 0.6700  2.2100  5.2400  13.9227 : E _2'
(519) 0.6700  2.2100  5.7600  10.9345 : ^3' T _2'

# South Pole Chair
(628) 0.6700	3.0700	0.0000	 5.4372 : ^1' C _4'
